#t / s	&b_A1 / rad	f_geschw / rad/s

*TITLE Messung von x und y vom 22.11.2016 
*xLabel Zeit
*yLabel Winkel        
*xUnit  sek
*yUnit  rad

#0	#1.12	#0
19.1	-2.48	-0.7
19.15	-2.48	0.9
19.2	-2.39	2.4
19.25	-2.24	3.6
19.3	-2.03	4.9
19.35	-1.75	6
19.4	-1.44	6.9
19.45	-1.06	7.7
19.5	-0.66	8.1
19.55	-0.25	8.5
19.6	0.18	8.6
19.65	0.61	8.2
19.7	1.01	7.7
19.75	1.38	6.9
19.8	1.7	6
19.85	1.99	4.8
19.9	2.19	3.5
19.95	2.34	2.1
20	2.39	0.5
20.05	2.39	-0.9
20.1	2.31	-2.4
20.15	2.15	-3.7
20.2	1.93	-5
20.25	1.65	-6.2
20.3	1.32	-7.1
20.35	0.95	-7.8
20.4	0.53	-8.3
20.45	0.12	-8.4
20.5	-0.32	-8.5
20.55	-0.73	-8.1
20.6	-1.12	-7.5
20.65	-1.48	-6.6
20.7	-1.78	-5.7
20.75	-2.06	-4.7
20.8	-2.25	-3.5
20.85	-2.39	-1.9
20.9	-2.45	-0.5
20.95	-2.44	0.9
21	-2.36	2.2
21.05	-2.21	3.7
21.1	-2	4.8
21.15	-1.73	5.9
21.2	-1.4	6.9
21.25	-1.03	7.5
21.3	-0.65	8.1
21.35	-0.22	8.4
21.4	0.18	8.4
21.45	0.61	8.2
21.5	1	7.6
21.55	1.37	6.9
21.6	1.7	5.9
21.65	1.96	4.7
21.7	2.17	3.5
21.75	2.31	2.1
21.8	2.37	0.5
21.85	2.36	-1
21.9	2.27	-2.3
21.95	2.13	-3.6
22	1.92	-5.1
22.05	1.62	-6.1
22.1	1.29	-7
22.15	0.91	-7.7
22.2	0.52	-8.2
22.25	0.1	-8.3
22.3	-0.3	-8.3
22.35	-0.73	-8.1
22.4	-1.12	-7.4
22.45	-1.46	-6.6
22.5	-1.78	-5.7
22.55	-2.03	-4.4
22.6	-2.22	-3.2
22.65	-2.36	-2
22.7	-2.43	-0.5
22.75	-2.4	1
22.8	-2.33	2.3
22.85	-2.18	3.6
22.9	-1.96	4.8
22.95	-1.7	5.8
23	-1.38	6.8
23.05	-1.02	7.6
23.1	-0.63	8
23.15	-0.22	8.3
23.2	0.22	8.3
23.25	0.61	8
23.3	1	7.4
23.35	1.35	6.7
23.4	1.68	6
23.45	1.95	4.6
23.5	2.13	3.3
23.55	2.27	2.2
23.6	2.35	0.6
23.65	2.34	-1
23.7	2.25	-2.5
23.75	2.09	-3.8
23.8	1.87	-4.8
23.85	1.61	-6
23.9	1.27	-7
23.95	0.9	-7.6
24	0.5	-8.2
24.05	0.09	-8.3
24.1	-0.33	-8.2
24.15	-0.73	-7.9
24.2	-1.12	-7.2
24.25	-1.46	-6.5
24.3	-1.76	-5.6
24.35	-2.01	-4.5
24.4	-2.22	-3.1
24.45	-2.33	-1.8
24.5	-2.39	-0.5
24.55	-2.38	0.9
24.6	-2.3	2.4
24.65	-2.14	3.6
24.7	-1.94	4.8
24.75	-1.65	5.9
24.8	-1.35	6.6
24.85	-1	7.4
24.9	-0.61	7.9
24.95	-0.21	8.2
25	0.22	8.1
25.05	0.61	7.9
25.1	1	7.5
25.15	1.35	6.5
25.2	1.65	5.7
25.25	1.93	4.7
25.3	2.13	3.4
25.35	2.26	1.8
25.4	2.31	0.4
25.45	2.31	-0.9
25.5	2.22	-2.5
25.55	2.06	-3.8
25.6	1.84	-4.9
25.65	1.57	-5.9
25.7	1.25	-6.9
25.75	0.88	-7.6
25.8	0.48	-8
25.85	0.08	-8.2
25.9	-0.34	-8.2
25.95	-0.74	-7.7
26	-1.11	-7.1
26.05	-1.45	-6.4
26.1	-1.74	-5.6
26.15	-2	-4.3
26.2	-2.18	-3.1
26.25	-2.31	-1.8
26.3	-2.36	-0.4
26.35	-2.35	1
26.4	-2.26	2.3
26.45	-2.12	3.5
26.5	-1.92	4.7
26.55	-1.65	5.9
26.6	-1.33	6.8
26.65	-0.97	7.3
26.7	-0.6	7.8
26.75	-0.18	8.1
26.8	0.22	8
26.85	0.61	7.9
26.9	1	7.3
26.95	1.35	6.5
27	1.65	5.7
27.05	1.92	4.4
27.1	2.1	3.1
27.15	2.22	2
27.2	2.3	0.5
27.25	2.27	-1.1
27.3	2.19	-2.3
27.35	2.05	-3.7
27.4	1.82	-5
27.45	1.55	-6
27.5	1.22	-6.8
27.55	0.86	-7.4
27.6	0.47	-8
27.65	0.07	-8.2
27.7	-0.35	-8
27.75	-0.74	-7.6
27.8	-1.1	-7
27.85	-1.44	-6.4
27.9	-1.74	-5.3
27.95	-1.97	-4.3
28	-2.17	-3
28.05	-2.27	-1.7
28.1	-2.34	-0.4
28.15	-2.32	1.1
28.2	-2.23	2.3
28.25	-2.09	3.5
28.3	-1.88	4.8
28.35	-1.61	5.8
28.4	-1.31	6.4
28.45	-0.96	7.3
28.5	-0.58	7.9
28.55	-0.17	7.9
28.6	0.22	7.9
28.65	0.62	7.7
28.7	1	7.2
28.75	1.34	6.5
28.8	1.64	5.5
28.85	1.89	4.4
28.9	2.09	3.2
28.95	2.21	1.7
29	2.26	0.5
29.05	2.25	-1
29.1	2.17	-2.5
29.15	2	-3.8
29.2	1.78	-4.8
29.25	1.52	-5.9
29.3	1.19	-6.9
29.35	0.84	-7.4
29.4	0.46	-7.8
29.45	0.05	-8
29.5	-0.35	-7.8
29.55	-0.73	-7.5
29.6	-1.09	-7.1
29.65	-1.44	-6.3
29.7	-1.72	-5.2
29.75	-1.96	-4.1
29.8	-2.13	-3
29.85	-2.26	-1.7
29.9	-2.31	-0.3
29.95	-2.3	1
30	-2.21	2.4
30.05	-2.06	3.6
30.1	-1.85	4.7
30.15	-1.59	5.7
30.2	-1.27	6.6
30.25	-0.92	7.2
30.3	-0.53	7.6
30.35	-0.16	7.8
30.4	0.23	7.9
30.45	0.62	7.7
30.5	1	7.2
30.55	1.34	6.2
30.6	1.62	5.3
30.65	1.87	4.3
30.7	2.06	3
30.75	2.18	1.8
30.8	2.23	0.4
30.85	2.22	-1
30.9	2.13	-2.5
30.95	1.97	-3.8
31	1.75	-4.8
31.05	1.49	-5.8
31.1	1.16	-6.7
31.15	0.83	-7.4
31.2	0.44	-7.9
31.25	0.04	-7.8
31.3	-0.35	-7.8
31.35	-0.74	-7.4
31.4	-1.09	-6.9
31.45	-1.43	-6.2
31.5	-1.71	-5.2
31.55	-1.95	-4.1
31.6	-2.12	-2.8
31.65	-2.23	-1.6
31.7	-2.27	-0.3
31.75	-2.26	1
31.8	-2.18	2.3
31.85	-2.03	3.4
31.9	-1.83	4.7
31.95	-1.56	5.7
32	-1.26	6.5
32.05	-0.91	7.3
32.1	-0.53	7.6
32.15	-0.15	7.8
32.2	0.25	7.7
32.25	0.62	7.5
32.3	1	7.1
32.35	1.33	6.1
32.4	1.61	5.4
32.45	1.87	4.3
32.5	2.05	3
32.55	2.17	1.8
32.6	2.22	0.2
32.65	2.19	-1.2
32.7	2.1	-2.4
32.75	1.95	-3.6
32.8	1.74	-4.8
32.85	1.47	-6
32.9	1.14	-6.7
32.95	0.79	-7.2
33	0.44	-7.6
33.05	0.03	-7.8
33.1	-0.36	-7.7
33.15	-0.74	-7.4
33.2	-1.09	-6.8
33.25	-1.43	-6
33.3	-1.7	-5
33.35	-1.93	-4.1
33.4	-2.1	-2.9
33.45	-2.21	-1.6
33.5	-2.26	-0.2
33.55	-2.23	1.2
33.6	-2.14	2.3
33.65	-2	3.5
33.7	-1.78	4.7
33.75	-1.52	5.7
33.8	-1.22	6.5
33.85	-0.88	7
33.9	-0.52	7.5
33.95	-0.13	7.9
34	0.26	7.7
34.05	0.64	7.3
34.1	0.99	6.8
34.15	1.32	6.1
34.2	1.61	5.2
34.25	1.84	4.2
34.3	2.03	2.9
34.35	2.13	1.5
34.4	2.19	0.5
34.45	2.18	-1.1
34.5	2.08	-2.6
34.55	1.92	-3.7
34.6	1.71	-4.8
34.65	1.44	-5.8
34.7	1.13	-6.6
34.75	0.77	-7.3
34.8	0.4	-7.6
34.85	0.02	-7.6
34.9	-0.36	-7.5
34.95	-0.74	-7.3
35	-1.09	-6.7
35.05	-1.4	-6
35.1	-1.7	-5.1
35.15	-1.92	-3.9
35.2	-2.09	-2.7
35.25	-2.19	-1.3
35.3	-2.22	-0.2
35.35	-2.21	1
35.4	-2.12	2.4
35.45	-1.97	3.6
35.5	-1.76	4.7
35.55	-1.5	5.6
35.6	-1.21	6.3
35.65	-0.87	7
35.7	-0.51	7.5
35.75	-0.13	7.6
35.8	0.26	7.7
35.85	0.64	7.4
35.9	1	6.7
35.95	1.32	6
36	1.61	5.1
36.05	1.84	3.9
36.1	2	2.9
36.15	2.12	1.6
36.2	2.17	0.1
36.25	2.13	-1.2
36.3	2.05	-2.5
36.35	1.88	-3.7
36.4	1.68	-4.8
36.46	1.39	-5.9
36.5	1.1	-6.6
36.55	0.74	-7
36.6	0.39	-7.5
36.65	0	-7.7
36.7	-0.39	-7.4
36.75	-0.75	-7
36.8	-1.09	-6.6
36.85	-1.4	-5.9
36.9	-1.68	-5
36.95	-1.9	-3.8
37	-2.06	-2.6
37.05	-2.17	-1.5
37.1	-2.21	-0.1
37.15	-2.18	1.2
37.2	-2.09	2.3
37.25	-1.95	3.5
37.3	-1.74	4.7
37.35	-1.48	5.6
37.4	-1.18	6.4
37.45	-0.84	7
37.5	-0.48	7.4
37.55	-0.1	7.5
37.6	0.27	7.5
37.65	0.65	7.3
37.7	1	6.6
37.75	1.32	6
37.8	1.6	5.1
37.85	1.83	3.9
37.9	1.99	2.7
37.95	2.1	1.4
38	2.13	0.2
38.05	2.12	-1.1
38.1	2.02	-2.5
38.15	1.87	-3.7
38.2	1.65	-4.8
38.25	1.39	-5.8
38.31	1.06	-6.6
38.35	0.74	-7.1
38.41	0.35	-7.4
38.45	0	-7.5
38.5	-0.38	-7.5
38.55	-0.76	-7
38.6	-1.09	-6.5
38.65	-1.39	-5.7
38.7	-1.65	-4.9
38.75	-1.88	-3.9
38.8	-2.05	-2.6
38.85	-2.14	-1.3
38.9	-2.18	-0.1
38.95	-2.15	1.1
39	-2.07	2.4
39.05	-1.92	3.6
39.1	-1.71	4.7
39.15	-1.45	5.5
39.2	-1.14	6.3
39.26	-0.79	7
39.3	-0.46	7.4
39.35	-0.09	7.5
39.4	0.29	7.3
39.45	0.65	7.1
39.5	1	6.5
39.55	1.31	5.9
39.6	1.59	5.1
39.65	1.82	3.8
