#t / s	&b_A1 / rad	f_1
33.35	-0.27	0
33.41	-0.35	0
33.45	-0.4	0
33.5	-0.45	0
33.55	-0.48	0
33.6	-0.49	0
33.65	-0.49	0
33.7	-0.48	0
33.75	-0.45	0
33.8	-0.41	0
33.85	-0.35	0
33.9	-0.29	0
33.95	-0.22	0
34	-0.13	0
34.05	-0.05	0
34.1	0.03	0
34.15	0.12	0
34.2	0.2	0
34.25	0.26	0
34.3	0.34	0
34.35	0.39	0
34.4	0.44	0
34.45	0.46	0
34.5	0.48	0
34.55	0.48	0
34.6	0.46	0
34.65	0.44	0
34.7	0.39	0
34.75	0.34	0
34.8	0.27	0
34.85	0.21	0
34.9	0.13	0
34.95	0.04	0
35	-0.04	0
35.05	-0.12	0
35.1	-0.18	0
35.15	-0.26	0
35.2	-0.32	0
35.25	-0.37	0
35.3	-0.4	0
35.35	-0.44	0
35.4	-0.45	0
35.45	-0.45	0
35.5	-0.44	0
35.55	-0.4	0
35.6	-0.36	0
35.65	-0.3	0
35.7	-0.25	0
35.75	-0.18	0
35.81	-0.11	0
35.85	-0.03	0
35.9	0.04	0
35.95	0.12	0
36	0.18	0
36.05	0.26	0
36.1	0.3	0
36.15	0.35	0
36.2	0.39	0
36.25	0.41	0
36.3	0.42	0
36.35	0.42	0
36.4	0.4	0
36.45	0.38	0
36.5	0.35	0
36.55	0.29	0
36.6	0.23	0
36.65	0.17	0
36.7	0.1	0
36.75	0.03	0
36.8	-0.04	0
36.85	-0.12	0
36.9	-0.17	0
36.95	-0.24	0
37	-0.29	0
37.05	-0.34	0
37.1	-0.37	0
37.15	-0.39	0
37.2	-0.39	0
37.25	-0.39	0
37.3	-0.39	0
37.35	-0.35	0
37.4	-0.32	0
37.45	-0.27	0
37.5	-0.22	0
37.55	-0.15	0
37.6	-0.09	0
37.65	-0.02	0
37.7	0.04	0
37.75	0.12	0
37.8	0.17	0
37.85	0.23	0
37.9	0.28	0
37.95	0.33	0
38	0.35	0
38.05	0.38	0
38.1	0.38	0
38.15	0.38	0
38.2	0.36	0
38.25	0.34	0
38.3	0.3	0
38.35	0.26	0
38.4	0.21	0
38.45	0.14	0
38.5	0.09	0
38.55	0.01	0
38.6	-0.04	0
38.65	-0.11	0
38.7	-0.17	0
38.75	-0.22	0
38.8	-0.26	0
38.85	-0.3	0
38.9	-0.34	0
38.95	-0.35	0
39	-0.35	0
39.05	-0.35	0
39.1	-0.34	0
39.15	-0.3	0
39.2	-0.27	0
39.25	-0.23	0
39.3	-0.18	0
39.35	-0.13	0
39.4	-0.08	0
39.45	-0.01	0
39.5	0.04	0
39.55	0.11	0
39.6	0.17	0
39.65	0.22	0
39.7	0.26	0
39.75	0.29	0
39.8	0.32	0
39.85	0.34	0
39.9	0.35	0
39.95	0.34	0
40	0.32	0
40.05	0.3	0
40.1	0.26	0
40.15	0.22	0
40.2	0.17	0
40.25	0.12	0
40.3	0.07	0
40.35	0	0
40.4	-0.04	0
40.45	-0.1	0
40.5	-0.16	0
40.55	-0.21	0
40.6	-0.24	0
40.65	-0.27	0
40.7	-0.3	0
40.75	-0.3	0
40.8	-0.32	0
40.85	-0.3	0
40.9	-0.3	0
40.95	-0.27	0
41	-0.24	0
41.05	-0.21	0
41.1	-0.15	0
41.15	-0.1	0
41.2	-0.05	0
41.25	0	0
41.3	0.05	0
41.35	0.1	0
41.4	0.15	0
41.45	0.2	0
41.5	0.23	0
41.56	0.26	0
41.6	0.28	0
41.65	0.3	0
41.7	0.3	0
41.75	0.3	0
41.8	0.28	0
41.85	0.26	0
41.9	0.23	0
41.95	0.18	0
42	0.14	0
42.05	0.1	0
42.1	0.04	0
42.15	0	0
42.2	-0.04	0
42.25	-0.1	0
42.3	-0.14	0
42.35	-0.18	0
42.4	-0.22	0
42.45	-0.25	0
42.5	-0.26	0
42.55	-0.27	0
42.6	-0.27	0
42.65	-0.27	0
42.7	-0.26	0
42.75	-0.23	0
42.8	-0.21	0
42.85	-0.17	0
42.9	-0.13	0
42.95	-0.09	0
43	-0.04	0
43.05	0	0
43.1	0.05	0
43.15	0.1	0
43.2	0.14	0
43.25	0.17	0
43.3	0.22	0
43.35	0.24	0
43.4	0.26	0
43.45	0.26	0
43.5	0.26	0
43.55	0.26	0
43.6	0.25	0
43.65	0.22	0
43.7	0.2	0
43.75	0.16	0
43.8	0.13	0
43.85	0.09	0
43.9	0.04	0
43.95	0	0
44	-0.04	0
44.05	-0.09	0
44.1	-0.13	0
44.15	-0.17	0
44.2	-0.2	0
44.25	-0.22	0
44.3	-0.23	0
44.35	-0.24	0
44.4	-0.25	0
44.45	-0.24	0
44.5	-0.22	0
44.55	-0.21	0
44.6	-0.17	0
44.65	-0.14	0
44.7	-0.11	0
44.75	-0.08	0
44.8	-0.03	0
44.85	0.01	0
44.9	0.05	0
44.95	0.09	0
45	0.13	0
45.05	0.16	0
45.1	0.18	0
45.15	0.22	0
45.2	0.22	0
45.25	0.23	0
45.3	0.23	0
45.35	0.23	0
45.4	0.22	0
45.45	0.2	0
45.5	0.17	0
45.55	0.13	0
45.6	0.1	0
45.65	0.07	0
45.7	0.03	0
